username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,,,,,,,,,,,
";2020-01-22 19:01;0;0;""Why are they even starting discussions on a Scottish referendum with a body that represents the government of another country? Electoral Commission have also proven worse than useless in recent election issues."";;;;""1220058808845848579"";https://twitter.com/SandyWito1/status/1220058808845848579",,,,,,,,,,,
";2020-01-22 18:55;0;0;""Only if the @ ScotTories ensure there is nothing in the budget for another divisive and unwarranted referendum on Scottish Independence. Wouldn’t trust Dek with a shopping list never mind the budget for a country"";;@;;""1220057526429003781"";https://twitter.com/LS3370/status/1220057526429003781",,,,,,,,,,,
";2020-01-22 18:43;0;1;""@ BorisJohnson @ UKGovScotland @ ScotSecofState @ Jackson_Carlaw I wholeheartedly agree with Bea"," it is NOT appropriate for Scot Gov to spend Scottish Taxpayers money on an illegal referendum. There needs to be an audit. # pretendyrefhttps://twitter.com/bea_johanssen/status/1220041267498962945 …"";;@ @ @ @;#;""1220054430944497665"";https://twitter.com/walker_sal/status/1220054430944497665",,,,,,,,,,
";2020-01-22 18:40;0;0;""It will not be recognised"," it will just add to the deficit of the Scottish budget and cause more upset. The last referendum was binding. https://twitter.com/STattisconie/status/1219726834629337091 …"";;;;""1220053672677212160"";https://twitter.com/tmc51530213/status/1220053672677212160",,,,,,,,,,
";2020-01-22 18:34;0;0;""The Scottish government can hold a perfectly legal advisory referendum whenever they like. Section 30 doesn't make the referendum legal it only states that westminster will recognise the result."";;;;""1220052196999548936"";https://twitter.com/snoovin/status/1220052196999548936",,,,,,,,,,,
";2020-01-22 18:33;0;0;""Doesn't matter who said it or wrote it. We have elected another Scottish Government since then and they voted for another referendum."";;;;""1220051986537684997"";https://twitter.com/QuestionerMoney/status/1220051986537684997",,,,,,,,,,,
";2020-01-22 18:31;0;0;""How long will you ignore the 6 mandates that the The Scottish Government has for another referendum?"";;;;""1220051488699035649"";https://twitter.com/danfrancisco312/status/1220051488699035649",,,,,,,,,,,
";2020-01-22 18:26;0;0;""Nope. The soveriegn right of the scottish people asked for this referendum. Westminster can NOT STOP this from happening."";;;;""1220050036849029121"";https://twitter.com/JMackillen/status/1220050036849029121",,,,,,,,,,,
";2020-01-22 18:24;0;1;""In 2014", Scotland's people voted to remain in the Union. In 2016, the Scottish people, but fewer of them," voted to remain in the EU. The 2014 vote trump's the subsequent referendum result as the latter is part of a UK wide vote Why can't SNP understand that?"";;;;""1220049658799689732"";https://twitter.com/obritom/status/1220049658799689732",,,,,,,
";2020-01-22 18:21;0;0;""are you for real? The Edinburgh agreement is what led to this Order in Council which gave the legal power to the Scottish parliament to hold the referendum. http://www.legislation.gov.uk/uksi/2013/242/pdfs/uksi_20130242_en.pdf …"";;;;""1220048754302210050"";https://twitter.com/BrexitGuard/status/1220048754302210050",,,,,,,,,,,
";2020-01-22 18:19;0;1;""At the last Scottish referendum she made herself and Salmond look a right pair of prats over the oil reserves and potential earnings."";;;;""1220048390261747719"";https://twitter.com/MyPoint63442925/status/1220048390261747719",,,,,,,,,,,
";2020-01-22 18:15;0;2;""And I would be keen to hear how winning 80% of seats in Scotland at a general election or having won Scottish elections or having a majority in favour of a second referendum in parliament is an “insane idea” of a mandate."";;;;""1220047360572694534"";https://twitter.com/neilgraysnp/status/1220047360572694534",,,,,,,,,,,
";2020-01-22 18:13;0;1;""It was a Uk-wide referendum - NOT a Scottish one; NOT a Welsh one"," NOT a Northern Ireland one! You can't now pick and choose how you analyse the result. You lost - get used to it."";;;;""1220046945118490624"";https://twitter.com/David_J_Bond/status/1220046945118490624",,,,,,,,,,
";2020-01-22 18:13;0;2;""Please do not let narcissist Sturgeon have a second Scottish referendum. We voted NO in 2014. Many Scots like myself voted to leave the EU and remain part of the UK."";;;;""1220046875874775040"";https://twitter.com/Blood362/status/1220046875874775040",,,,,,,,,,,
";2020-01-22 18:09;0;0;""(a) I'm agnostic on issue of Scottish independence", my point is that it can't be a Union of equals if Westminster can block a referendum. (b) In 2014," Scottish voters were assured that staying in the ""Union"" would keep them in the # EU. # Brexit has radically changed the landscape!"";;;# #;""1220045840439545863"";https://twitter.com/mollox/status/1220045840439545863",,,,,,,,,
";2020-01-22 18:06;0;0;""Yes it was. The UK Government agreed via the Edinburgh Agreement with the Scottish Government to allow a section 30 order to take place"," and let the Scottish parliament legislate for the referendum. it was entirely legal because the UK parliament /Gov allowed it."";;;;""1220045103068274688"";https://twitter.com/BrexitGuard/status/1220045103068274688",,,,,,,,,,
";2020-01-22 18:03;0;0;""I’m not talking about you though am I. I’m talking about the SNP who immediately started arguing for another referendum. Scottish politics will always have public services second to leaving UK for as long as they are in power."";;;;""1220044285749399552"";https://twitter.com/blairmcdougall/status/1220044285749399552",,,,,,,,,,,
";2020-01-22 17:59;0;0;""54% of Scots just voted against a 2020 referendum Why don't you respect the democratic will of the Scottish people? I hope your motion gets exactly the respect it deserves from our UK parliament"";;;;""1220043254625947649"";https://twitter.com/Tedii69/status/1220043254625947649",,,,,,,,,,,
";2020-01-22 17:55;0;0;""Ingrown hair infection", ingrown hair cyst...beards can be unhygienic. Ignore the Scottish bird btw," she can't help herself. Sooner they get the referendum the better."";;;;""1220042295975739394"";https://twitter.com/glenn20081965/status/1220042295975739394",,,,,,,,,
";2020-01-22 17:47;1;4;""""In short", a do-it-yourself referendum is not the Scottish Government policy just now," but perhaps in the future?"" // Letters https://www.thenational.scot/politics/18176729.diy-referendum-not-snp-policy---may-no-choice/ …"";;;;""1220040177642622981"";https://twitter.com/ScotNational/status/1220040177642622981",,,,,,,,,
";2020-01-22 17:32;1;1;""In the U.K. Tory democracy the unelected House of Lords have more say then the elected MSPs of the Scottish Parliament. And folks wonder why Scotland seek a seek independence referendum.... # indyref2020 @ theSNP @ NicolaSturgeon @ Angus4FalkirkE"";;@ @ @;#;""1220036407709851648"";https://twitter.com/elgoldave/status/1220036407709851648",,,,,,,,,,,
";2020-01-22 17:23;0;0;""Funnily enough scotland hasn't had another Scottish independence referendum"," so that statement is null and void. Due to the current circumstances you will find everyone in Scotland has a right to choose if they want to live in an independent country."";;;;""1220034382959927297"";https://twitter.com/Kaylz84778947/status/1220034382959927297",,,,,,,,,,
";2020-01-22 17:20;1;5;""Failed second hand car salesman running for leader of failed branch office of English based political party"," claims Scottish political party with majority and mandate for independence referendum is not Scotland."";;;;""1220033456966701057"";https://twitter.com/BAKESY61/status/1220033456966701057",,,,,,,,,,
";2020-01-22 17:16;0;0;""What is the British government fear on the Scottish referendum? Is it that they will vote to leave which is perceived as a threat the United Kingdom? And if so why?"";;;;""1220032495305003013"";https://twitter.com/JAkinniranye/status/1220032495305003013",,,,,,,,,,,
";2020-01-22 17:14;0;3;""Scottish and Scottish ! The yoons are finished in Scotland and they know it That’s why they are against a referendum"";;;;""1220032105926791168"";https://twitter.com/rantypete/status/1220032105926791168",,,,,,,,,,,
";2020-01-22 17:14;0;0;""Why are you stopping democracy in Scotland? Since 2014 much has changed"," including the Scottish people wanting to remain in the EU. Let us have our referendum on Scottish independence."";;;;""1220031933805142016"";https://twitter.com/stewartfisher/status/1220031933805142016",,,,,,,,,,
";2020-01-22 17:13;0;1;""Just to be clear the people have given SNP a pile of mandates to run a referendum. They won 81% of seats under the favoured electoral system of the unionists. You think one English Tory should overrule the Scottish population. You are part of the problem"";;;;""1220031713428017153"";https://twitter.com/stevenroy27/status/1220031713428017153",,,,,,,,,,,
";2020-01-22 17:07;0;2;""Every right to do so when all we get is a Blackford one trick pony.. The Scottish Government under devolution should be made to report as a review as to whether devolution is working . What about a referendum to scrap or revoke devolution?"";;;;""1220030247078416385"";https://twitter.com/GerryLCK/status/1220030247078416385",,,,,,,,,,,
";2020-01-22 17:03;0;1;""The SNP won 81.4% of all Scottish seats on a mandate of another referendum"," so he is doing his job. How difficult is it for you to try understand even a tiny bit about Scottish politics?"";;;;""1220029306199592961"";https://twitter.com/LassieLmr/status/1220029306199592961",,,,,,,,,,
";2020-01-22 17:03;36;32;""The lying Tories wouldn't want you to know that THEY signed the Smith Commission Agreement AFTER the Scottish Independence Referendum in 2014 and they certainly wouldn't want you to know that THEY agreed that Scotland CAN hold another Independence Referendum pic.twitter.com/1wkYKXdizB"";;;;""1220029188008292357"";https://twitter.com/ScotWedPhotos/status/1220029188008292357",,,,,,,,,,,
";2020-01-22 16:57;4;5;""Scottish Independence Convention leaders have called for activists to build support for independence as they conceded “the prospect of a referendum in 2020 looks extremely unlikely” https://www.thenational.scot/news/18176851.call-activists-talk-indy-curious-2020-vote-extremely-unlikely/ …"";;;;""1220027594931871747"";https://twitter.com/ScotNational/status/1220027594931871747",,,,,,,,,,,
";2020-01-22 16:36;0;0;""I love that once in a lifetime feeling Nicola sturgeon told us about in the Scottish referendum . I think that ship has sailed "," unless of course Nicola calls all Scots on the street against a elected government of the UK . Not very democratic that ."";;;;""1220022428514115593"";https://twitter.com/DerekTwigg2/status/1220022428514115593",,,,,,,,,,
";2020-01-22 16:34;0;0;""hey I’m all for independence if that’s what the people want but the leaving the EU was a overall decision and just being realistic in the fact I can’t see a second Scottish referendum happening for a good few years"";;;;""1220021910479818754"";https://twitter.com/Paul_Goode78/status/1220021910479818754",,,,,,,,,,,
";2020-01-22 16:32;0;0;""Carry on ignoring the Scottish referendum and inciting hatred will see you in jail. # STFU on go to jail."";;;#;""1220021457272569859"";https://twitter.com/HoundndaPound/status/1220021457272569859",,,,,,,,,,,
";2020-01-22 16:31;0;4;""which LAW will the Scottish Government break if it holds a referendum on Independence? Asking for a nation"";;;;""1220021163646181377"";https://twitter.com/AppleMak19/status/1220021163646181377",,,,,,,,,,,
";2020-01-22 16:29;0;0;""A referendum which they couldn't deliver the result of because the Scottish parliament can't legislate on matters regarding the constitution. That renders it pointless. Sturgeon has a few options"," but proceeding without a section 30 order won't be one."";;;;""1220020735047012353"";https://twitter.com/_william_b/status/1220020735047012353",,,,,,,,,,
";2020-01-22 16:23;1;0;""Scottish Tories told us we had to vote for them to stop # indyref2 and we voted against the Tories. When will Scottish Tories respect our votes and work with @ scotgov to deliver the referendum they told us could ONLY be stopped by voting Tory?"";;@;#;""1220019245695803399"";https://twitter.com/NeilCaple/status/1220019245695803399",,,,,,,,,,,
";2020-01-22 16:12;0;0;""FFS. What are you talking about. Am I gonna have to spoon feed you everything? 2. Hold indyref2 in 2020 Ask the UK government to give the Scottish Parliament the power to hold a referendum next year on independence. It was front and centre. Vote SNP. Vote for a indyref2"";;;;""1220016436329971712"";https://twitter.com/jimmyg_80/status/1220016436329971712",,,,,,,,,,,
";2020-01-22 16:11;2;1;""'Comply or Die: Scottish Labour and # indyref2' With Scottish Labour MSPS and @ ScotLabRadDem calling for a defence of Scotland's right to a second independence referendum"," is the party beginning to acclimatise to the constitutional crisis? https://www.conter.co.uk/blog/2020/1/22/comply-or-die-labour-and-indyref2 …pic.twitter.com/FjcwGzqo6D"";;@;#;""1220016241089425413"";https://twitter.com/ConterScot/status/1220016241089425413",,,,,,,,,,
";2020-01-22 16:08;0;0;""2016 manifesto pledge - voted and elected upon a specific manifesto pledge - Scottish Parliament should have the right to hold another referendum if there is ""clear and sustained evidence""a ""significant and material"" change in circumstances"," such as being taken out of the EU"";;;;""1220015323547566082"";https://twitter.com/jimmyg_80/status/1220015323547566082",,,,,,,,,,
";2020-01-22 16:07;0;0;""Did WM require Scottish permission to hold a Brexit referendum?"";;;;""1220015178613510147"";https://twitter.com/gfpaterson/status/1220015178613510147",,,,,,,,,,,
";2020-01-22 16:04;0;0;""I would shut him up very quickly. I'd offer another Scottish Referendum but only on the proviso that if the SNP lose", then The Scottish Parliament at Holyrood will be shut down and Scotland will be ruled from Westminster," like England! https://twitter.com/karenwales66/status/1219960683447619584 …"";;;;""1220014476784738306"";https://twitter.com/IAmTesseract/status/1220014476784738306",,,,,,,,,
";2020-01-22 16:02;0;0;""The devolved governments and legislatures were voted for by the Welsh", Scottish and Northern Irish to not run UK wide and foreign affairs. They have no right to a say in this. In addition," Welsh people voted leave in the referendum."";;;;""1220013896746053632"";https://twitter.com/treflesg/status/1220013896746053632",,,,,,,,,
";2020-01-22 16:00;0;0;""Scottish unionist election voteshares: SP2016(constituency): 52.4% (SNP: 46.5%) GE2017: 63%(SNP: 37%) EP2019: 53.2% (SNP/Green: 46%) Do you think it’s a coincidence that unionist parties opposed to a second referendum keep getting a majority of votes in successive elections?"";;;;""1220013449520078850"";https://twitter.com/k98_john/status/1220013449520078850",,,,,,,,,,,
";2020-01-22 15:59;0;0;""At the 2019 General Election"," Scottish unionist parties explicitly opposed to an independence referendum on Sturgeon’s timetable took a clear majority of the vote at 54% whilst the SNP/Greens only got 46%. You have no mandate."";;;;""1220013192010698753"";https://twitter.com/k98_john/status/1220013192010698753",,,,,,,,,,
";2020-01-22 15:57;1;1;""I didn't. But I voted for a Scottish Government that has voted to have another referendum."";;;;""1220012508855095298"";https://twitter.com/QuestionerMoney/status/1220012508855095298",,,,,,,,,,,
";2020-01-22 15:57;0;0;""The Scottish Labour manifesto explicitly ruled out facilitating one on the timetable Sturgeon was demanding. The parties explicitly opposed to independence and a second referendum on Sturgeon’s timetable got 54% of the Scottish vote"," those in favour only got 46%."";;;;""1220012507294785538"";https://twitter.com/k98_john/status/1220012507294785538",,,,,,,,,,
";2020-01-22 15:57;0;1;""I would agree with you Adam", except for one aspect, which is the cost to the taxpayer. A pointless referendum that has no validity and will cost millions," money better spent on reducing the Scottish fiscal deficit."";;;;""1220012497169788929"";https://twitter.com/RufusDodoNelson/status/1220012497169788929",,,,,,,,
";2020-01-22 15:54;0;0;""So what Sturgeon is doing now is asking die a new referendum while the Scottish knew about the possible Brexit and decided tot stay in the UK during the referendum anyway. I see no ground to do another referendum then."";;;;""1220011870574338055"";https://twitter.com/MarcelGommans/status/1220011870574338055",,,,,,,,,,,
";2020-01-22 15:53;0;0;""You lost the Scottish referendum.. accept it and move on to more important things .. wee Nicola"";;;;""1220011714932068352"";https://twitter.com/JamesoBitter1/status/1220011714932068352",,,,,,,,,,,
";2020-01-22 15:53;0;1;""Wrong on Scottish referendum though."";;;;""1220011660049625089"";https://twitter.com/chrismcg21/status/1220011660049625089",,,,,,,,,,,
";2020-01-22 15:53;6;10;"". @ KirstySNP is either ignorant or a liar. p.556"," SNP indy white paper: 'It is the VIEW of the Scottish government that a referendum is a once-in-a-generation opportunity.' Not just a 'turn of phrase'. Official SNP Governmental position. Stop lying to people @ theSNP https://twitter.com/AgentP22/status/1219993645123809280 …pic.twitter.com/mHNbTeAIXb"";;@ @;;""1220011596845633538"";https://twitter.com/ScotBrit2014/status/1220011596845633538",,,,,,,,,,
";2020-01-22 15:53;0;0;""'Scotland voted remain' is irrelevant", it wasn't a Scottish referendum, it was a British one, and The United Kingdom (which Scotland is part of) as a whole voted leave. I supported the remain campaign," however we must accept the result of the referendum in the name of democracy"";;;;""1220011524334505984"";https://twitter.com/StruanMac14/status/1220011524334505984",,,,,,,
";2020-01-22 15:47;0;0;""John is just a brainwashed unionist they shud be pitied there’s not that many still about in Scotland and ANY referendum held by the will of the Scottish people will always be legal so if David doesn’t like that fact then I suggest he moves south before something nasty happens https://twitter.com/posnewsday/status/1219936589348065280 …"";;;;""1220010224356032512"";https://twitter.com/loyaljock/status/1220010224356032512",,,,,,,,,,,
";2020-01-22 15:47;0;0;""as previous", the eu referendum was not a scottish vote, it was a uk vote," its not all about scotland ffs"";;;;""1220010000111886338"";https://twitter.com/HandlinSimon/status/1220010000111886338",,,,,,,,
";2020-01-22 15:46;0;1;""Referendums concerning the constitution are outside the legislative powers of the Scottish parliament. That’s why the Edinburgh agreement was needed last time to grant the Scottish government the powers to legislate for the referendum."";;;;""1220009791059300352"";https://twitter.com/_william_b/status/1220009791059300352",,,,,,,,,,,
";2020-01-22 15:44;11;63;""I support a Independent Scottish state with a written constitution to protect and serve all the people of Scotland. I demand our voice to be heard via a referendum We as Scots are sovereign and can not be denied"";;;;""1220009279530446849"";https://twitter.com/80_mcswan/status/1220009279530446849",,,,,,,,,,,
";2020-01-22 15:36;0;0;""Probably. The divisive campaign for the Scottish referendum has entrenched opinion and there’s little appetite for another party until that’s put to bed. I suspect the forthcoming trial of the bloated wee alleged sex pest might do just that."";;;;""1220007276343369728"";https://twitter.com/jag1898/status/1220007276343369728",,,,,,,,,,,
";2020-01-22 15:30;0;1;""The Scottish justice system is well respected internationally as is Scots Law which underpins it. It's unhealthy to prejudge a case that has yet to be tried and to condemn the justice system if the outcome doesn't satisfy you. Scrapping Holyrood requires a referendum of Scots."";;;;""1220005730071261184"";https://twitter.com/GaryEther/status/1220005730071261184",,,,,,,,,,,
";2020-01-22 15:27;0;1;""as has been stated many times", brexit was not a scottish referendum, it was a uk referendum, and we chose to be part of the uk, london voted to remain in eu," do you hear them screaming to be independant? no"";;;;""1220005008353189889"";https://twitter.com/HandlinSimon/status/1220005008353189889",,,,,,
";2020-01-22 15:26;0;0;""Can you please explain on what grounds a consultative referendum being carried out by the Scottish Government could possibly be illegal? I have not been able to locate any legislation but trust that if you are sure it would be illegal you can point me towards this"," if you could"";;;;""1220004713590087680"";https://twitter.com/ferns_douglas/status/1220004713590087680",,,,,,,,,,
";2020-01-22 15:16;0;0;""every country who makes the union should have a say it’s a flawed system that suits one country of the 4 unfortunately"," even democracy only applies when it suits west minister like when the Majority of the Scottish people ask for independence referendum and are blatantly told no"";;;;""1220002237155549184"";https://twitter.com/jaygordoo/status/1220002237155549184",,,,,,,,,,
";2020-01-22 15:14;0;0;""I agree with you there richie. The Scottish people must be given a vote to decide again"," even though the 2014 vote was declared by them to be a once in a lifetime referendum."";;;;""1220001896905302016"";https://twitter.com/KervanGovender/status/1220001896905302016",,,,,,,,,,
";2020-01-22 15:14;0;1;""Look dudes"," I'm fine with you having your referendum if Scottish people want one. I've never argued you shouldn't. I'm just saying it's highly unlikely if Westminster won't let it happen"";;;;""1220001673021665282"";https://twitter.com/martinradio/status/1220001673021665282",,,,,,,,,,
";2020-01-22 15:08;0;0;""Surely there is more to politics in Scotland than holding another referendum and Independence? The Scottish side of my family want to stay part of the U.K. https://twitter.com/justinterject/status/1219970791896494081 …"";;;;""1220000307310100480"";https://twitter.com/SkinSpecialist/status/1220000307310100480",,,,,,,,,,,
";2020-01-22 15:03;0;3;""Scotland's Future", Part 5," No.557: ""It is the view of the current Scottish Government that a referendum is a once-in-a-generation opportunity."""";;;;""1219999037245575168"";https://twitter.com/chrisbaillie71/status/1219999037245575168",,,,,,,,,
";2020-01-22 14:57;0;2;""It's probably because all they seem to ask questions about is either another Scottish Referendum or being dragged out of the EU against their will. Both these matters have now been settled for a generation. They should focus on domestic matters for their constituents for a change"";;;;""1219997547839787015"";https://twitter.com/MamaCrazee/status/1219997547839787015",,,,,,,,,,,
";2020-01-22 14:48;1;7;""Considering that England has highjacked the Union and Scotland is HALF of the Union"," our Scottish Government has the authority to do whatever it pleases. And it pleases most Scots to have an Independence Referendum 2."";;;;""1219995146693042177"";https://twitter.com/KizzieWiz/status/1219995146693042177",,,,,,,,,,
";2020-01-22 14:45;0;0;""I just hope during the next referendum campaign we do a fucking massive montage of all the bile we have seen over the last few years anti Scottish and independence"";;;;""1219994510534610951"";https://twitter.com/JamieAMiller/status/1219994510534610951",,,,,,,,,,,
";2020-01-22 14:30;0;0;""Westminster isnt bound to respect a referendum result "," but they have to respect a scottish election. SnP should hold a snap election with the sole manifesto commitment(to avoid claims if confusion) for a declaration of independence."";;;;""1219990632736882688"";https://twitter.com/grantrs4/status/1219990632736882688",,,,,,,,,,
";2020-01-22 14:29;0;0;""All the naysayers don’t get the point? About Scottish Independence", In 62% of Scotts that voted In the 2016 EU referendum In favor of the EU. When Indyref2 does come, It will be fought on a vote for Scotland’s eventual Independence," Is a vote for the support of the EU."";;;;""1219990570216632320"";https://twitter.com/Bleulander/status/1219990570216632320",,,,,,,,
";2020-01-22 14:27;0;1;""He's certainly the laziest"," he only has one speech in parliament and he used it throughout the last parliament. Scottish independence /2nd referendum blah blah blah......"";;;;""1219989900499603456"";https://twitter.com/stickeyshoney/status/1219989900499603456",,,,,,,,,,
";2020-01-22 14:12;0;0;""Given what she said to afneil about how the UK ought to deal with Scottish demands for a referendum a la Spanish methods in Catalonia"," then your judgement is somewhat warped there. Especially when she kept gigging the hole bigger."";;;;""1219986313123958784"";https://twitter.com/AndyLippok/status/1219986313123958784",,,,,,,,,,
";2020-01-22 14:12;14;53;""Mike Russell also says it's ""the duty of the Scottish government to deliver"" an independence referendum"," given electoral mandate won by the SNP in December's general election."";;;;""1219986194374823937"";https://twitter.com/BBCPhilipSim/status/1219986194374823937",,,,,,,,,,
";2020-01-22 14:10;0;0;""To be fair that was the position at the time of the Scottish referendum. Cameron and the No campaign never dreamt a Leave vote would happen. It’s wrong to call it lies retrospectively. In the end democracy decided."";;;;""1219985740693757952"";https://twitter.com/MikeSummersUK/status/1219985740693757952",,,,,,,,,,,
";2020-01-22 14:07;0;0;""It’s wasn’t a Scottish vote"," it was a UK vote.... the majority wanted to leave the EU... you have issues with democracy as you still don’t understand the majority voted to remain in the UK when you held you referendum"";;;;""1219984821755240448"";https://twitter.com/TheRealDemonLee/status/1219984821755240448",,,,,,,,,,
";2020-01-22 14:05;0;5;""Or put another way", anything a politician from the Scottish nationalist party says should be treated as 'just a turn of phrase'. SNP members are just about to find out that promises of a referendum in 2020 were just a 'turn of phrase', in terms of the debate," of course..."";;;;""1219984489838972928"";https://twitter.com/Grahamskifalkir/status/1219984489838972928",,,,,,,,
";2020-01-22 14:03;0;0;""What majority based on the last Scottish referendum allthat lies we were told"," Why did you think the same lies were told in UK Brexit but 63% majority of whole Scotland voted with SNP to remain in EU tic tock we going to win it same margin ."";;;;""1219983989794054144"";https://twitter.com/Brianir64009092/status/1219983989794054144",,,,,,,,,,
";2020-01-22 14:03;0;0;""You tell us John. Your Führer said the last referendum was a ""once in a lifetime ""chance. Is that the lifetime of the sun(billion years)", a fruit fly (1 day)or a Scottish person (77 years ,"average)"";;;;""1219983868603830273"";https://twitter.com/jonnysheard1/status/1219983868603830273",,,,,,,,,
";2020-01-22 13:57;0;0;""Scottish National Party clashes with Johnson government over second independence referendum https://www.wsws.org/en/articles/2020/01/22/scot-j22.html …"";;;;""1219982407513903105"";https://twitter.com/price_huw/status/1219982407513903105",,,,,,,,,,,
";2020-01-22 13:52;0;0;""@ Ianblackford_MP where does it state on this ballot paper that it was a “Scottish” EU Referendum"," it says UK and everyone knew it was a UK vote and as Scotland are part of the U.K. and the result was for the U.K. to leave them that’s what happened pic.twitter.com/yk3SWQJx9o"";;@;;""1219981116641370116"";https://twitter.com/W1LL1AMRFC/status/1219981116641370116",,,,,,,,,,
";2020-01-22 13:50;0;0;""ohhh.. The words of the leader of the party is just a view Lets push ahead with the law argument then - The law states that Scotland cant hold another section 30 order’ that temporarily lifted any restriction on the Scottish parliament’s power to arrange a referendum"";;;;""1219980748574416896"";https://twitter.com/oneteam1dreammm/status/1219980748574416896",,,,,,,,,,,
";2020-01-22 13:45;0;2;""A second source in Scotland", this one a Left wing person who supports Scottish Independence," confirms Salmond's predatory habits with younger staff was an open secret. Good luck with the referendum when that comes out"";;;;""1219979280911863808"";https://twitter.com/semperfidem2004/status/1219979280911863808",,,,,,,,,
";2020-01-22 13:39;0;6;""Perhaps if Ian Blackford asked a different question other than banging on about a Scottish referendum (they’ve had one) and Brexit (the UK voted to Leave and we ARE leaving)"," he might actually earn some respect"";;;;""1219977852587794433"";https://twitter.com/flowesaunders68/status/1219977852587794433",,,,,,,,,,
";2020-01-22 13:32;0;1;""Just to be clear"," an advisory referendum without S30 is perfectly legal & within Scottish Parliament competence. No amount of Trump-like capitalisation by @ John2Win changes this or his party's desperation to respect advisory referendum results e.g. Brexit. # IndyRef2 # IndyRef2020https://twitter.com/John2Win/status/1219755657466957824 …"";;@;# #;""1219976187243614208"";https://twitter.com/SingleMaltBiker/status/1219976187243614208",,,,,,,,,,
";2020-01-22 13:28;0;0;""I am 100% Scottish. Here's the thing though...........like the majority of us"," I do not vote for the SNP! And I cringe any time the fatman Blackford speaks.............he does not speak for me. As for the Scottish Parliament - that is 1 referendum I WOULD like!"";;;;""1219975247606226949"";https://twitter.com/TomJohn1975/status/1219975247606226949",,,,,,,,,,
";2020-01-22 13:28;0;2;""If the UK truly thought they’d win a Scottish independence referendum they’d have one tmoro....they know they’re fukd. They’re just buying time....nothing more"";;;;""1219975031658336256"";https://twitter.com/DarkSideoDunoon/status/1219975031658336256",,,,,,,,,,,
