date,user_loc,message,full_name,country,country_code,geo_code,tidy_tweet,tokens,no_keywords,predictions,word count,neg_scores,neu_scores,pos_scores,compound_scores,latitude,longitude,address,city,City_Nation_Country,nation
2020-01-09 09:31:10,Somewhere on OS map 47 or 50,"So....
Ireland reunifies #borderpoll
Scotland gets independence #indyref2
Now England might go Republic #meghxit 
(… https://t.co/2LDr1iTLNx","Galway, Ireland",Ireland,IE,"[-9.106505, 53.343313]",ireland reunifi scotland get independ england might republ,"['ireland', 'reunifies', 'scotland', 'gets', 'independence', 'england', 'might', 'republic']","['ireland', 'reunifies', 'gets', 'england', 'might', 'republic']",1,16,0.0,1.0,0.0,0.0,53.343313,-9.106505,"Gortaghokera, Curra, Co. Galway, Ireland",,"[None, 'County Galway', 'Ireland']",County Galway
2020-01-09 09:45:06,"Bradford, England",@oluwaphemmyade1 @SteveHayWoody @piersmorgan @DailyMail @realDonaldTrump People like you are a danger on social med… https://t.co/fAkhatR92M,"Bradford, England",United Kingdom,GB,"[-1.76682, 53.815934]",peopl like danger social med,"['people', 'like', 'danger', 'social', 'med']","['people', 'like', 'danger', 'social', 'med']",0,15,0.382,0.337,0.281,-0.2263,53.815934,-1.76682,"198a Keighley Rd, Bradford BD9 4JP, UK",Bradford,"['Bradford', 'England', 'United Kingdom']",England
2020-01-09 11:15:34,,"With all due respect Jess, you can still be against Scottish independence but still be for the right of Scottish pe… https://t.co/KisHpAuUmI","Poplar, London",United Kingdom,GB,"[-0.03502, 51.51483]",due respect jess still scottish independ still right scottish,"['due', 'respect', 'jess', 'still', 'scottish', 'independence', 'still', 'right', 'scottish']","['due', 'respect', 'jess', 'still', 'still', 'right']",1,22,0.0,0.721,0.279,0.4767,51.51483,-0.03502,"Regent's Canal,, Limehouse, London E14 7TZ, UK",London,"['London', 'England', 'United Kingdom']",England
2020-01-09 11:15:34,,All the leadership candidates have talked about listening to the electorate and part of that is recognising that th… https://t.co/jrbydhkdiS,"Poplar, London",United Kingdom,GB,"[-0.03502, 51.51483]",leadership candid talk listen elector part recognis,"['leadership', 'candidates', 'talked', 'listening', 'electorate', 'part', 'recognising']","['leadership', 'candidates', 'talked', 'listening', 'electorate', 'part', 'recognising']",1,20,0.0,1.0,0.0,0.0,51.51483,-0.03502,"Regent's Canal,, Limehouse, London E14 7TZ, UK",London,"['London', 'England', 'United Kingdom']",England
2020-01-09 11:15:35,,"If the Scottish Parliament legislate for #indyref2 and the Tory govt block it, Labour should stand up for the Scott… https://t.co/ymhCLML3D0","Poplar, London",United Kingdom,GB,"[-0.03502, 51.51483]",scottish parliament legisl tori govt block labour stand scott,"['scottish', 'parliament', 'legislate', 'tory', 'govt', 'block', 'labour', 'stand', 'scott']","['parliament', 'legislate', 'tory', 'govt', 'block', 'labour', 'stand', 'scott']",0,21,0.266,0.7340000000000001,0.0,-0.4404,51.51483,-0.03502,"Regent's Canal,, Limehouse, London E14 7TZ, UK",London,"['London', 'England', 'United Kingdom']",England
2020-01-09 11:17:24,FB.me/EnglishInRomania,"@Soupelina @OldBobCyprus Good on them
I really hope they go full #IndyRef2 now. The sooner the UK is broken up the… https://t.co/qcIPHJaa8R","Constanta, Romania",Romania,RO,"[28.590977, 44.192043]",good realli hope full sooner broken,"['good', 'really', 'hope', 'full', 'sooner', 'broken']","['good', 'really', 'hope', 'full', 'sooner', 'broken']",0,22,0.261,0.252,0.487,0.4019,44.192043,28.590977,"Unnamed Road, Constanța, Romania",,"[None, 'Județul Constanța', 'Romania']",Județul Constanța
2020-01-09 11:35:14,Scotland,So we can either listen to @UKLabour only surviving MP in Scotland or we can listen to EU chiefs who have the welco… https://t.co/ZeLJ191jEi,"Scotland, United Kingdom",United Kingdom,GB,"[-4.200441, 57.739454]",either listen surviv scotland listen chief welco,"['either', 'listen', 'surviving', 'scotland', 'listen', 'chiefs', 'welco']","['either', 'listen', 'surviving', 'listen', 'chiefs', 'welco']",1,24,0.0,1.0,0.0,0.0,57.739454,-4.200441,"Unnamed Road, Invergordon IV18 0PF, UK",Invergordon,"['Invergordon', 'Scotland', 'United Kingdom']",Scotland
2020-01-09 12:28:55,,"5 years old, but relevant: Referendum: Study finds those with more info are more likely to vote yes https://t.co/HsiB1QygIY","Zug, Switzerland",Switzerland,CH,"[8.519569, 47.135374]",year old relev referendum studi find info like vote ye,"['years', 'old', 'relevant', 'referendum', 'study', 'finds', 'info', 'likely', 'vote', 'yes']","['years', 'old', 'relevant', 'referendum', 'study', 'finds', 'info', 'likely', 'vote', 'yes']",0,19,0.0,0.7829999999999999,0.217,0.3612,47.135374,8.519569,"Untere Mülibachstrasse, 6300 Zug, Switzerland",,"[None, 'Zug', 'Switzerland']",Zug
2020-01-09 13:32:58,Bailiwick of Guernsey,Can’t see how Scottish independence supporters using quotes about leaving a critically important political and econ… https://t.co/YE6nMvkbu5,"Saint Peter Port, Bailiwick of Guernsey",Guernsey,GB,"[-2.542239, 49.460337]",see scottish independ support use quot leav critic import polit econ,"['see', 'scottish', 'independence', 'supporters', 'using', 'quotes', 'leaving', 'critically', 'important', 'political', 'econ']","['see', 'supporters', 'using', 'quotes', 'leaving', 'critically', 'important', 'political', 'econ']",1,17,0.152,0.652,0.196,0.1531,49.460337,-2.542239,"Cambridge Park Rd, Guernsey GY1 1FF, Guernsey",Guernsey,"['Guernsey', 'Saint Peter Port', 'Guernsey']",Saint Peter Port
2020-01-09 13:39:50,China,"@GTMelhuish Ngl I’m pro Scottish independence, I want Eu citizenship. If Scotland goes independent I’d be a Scot as well as English","Liaoning, People's Republic of China",China,CN,"[122.310673, 41.097476]",ngl pro scottish independ want citizenship scotland goe independ scot well english,"['ngl', 'pro', 'scottish', 'independence', 'want', 'citizenship', 'scotland', 'goes', 'independent', 'scot', 'well', 'english']","['ngl', 'pro', 'want', 'citizenship', 'goes', 'independent', 'scot', 'well', 'english']",1,22,0.0,0.746,0.254,0.34,41.097476,122.310673,"Unnamed Road, Panshan Xian, Panjin Shi, Liaoning Sheng, China",,"[None, 'Liaoning Sheng', 'China']",Liaoning Sheng
2020-01-09 13:43:51,"Toronto,  Glasgow & Wherever","@DavidWaywell National animal of Scotland, clear shout out for Scottish independence","Birkenshaw, Scotland",United Kingdom,GB,"[-4.0624, 55.827547]",nation anim scotland clear shout scottish independ,"['national', 'animal', 'scotland', 'clear', 'shout', 'scottish', 'independence']","['national', 'animal', 'clear', 'shout']",1,11,0.0,0.698,0.302,0.3818,55.827547,-4.0624,"3 Hawthorn Terrace, Uddingston, Glasgow G71 5EB, UK",Glasgow,"['Glasgow', 'Scotland', 'United Kingdom']",Scotland
2020-01-09 15:19:12,"Dunfermline, Scotland",Why don’t ex-pat Scots have the decency to keep their views on Scottish Independence to themselves?,"Dunfermline, Scotland",United Kingdom,GB,"[-3.452863, 56.06718]",pat scot decenc keep view scottish independ,"['pat', 'scots', 'decency', 'keep', 'views', 'scottish', 'independence']","['pat', 'scots', 'decency', 'keep', 'views']",0,16,0.0,1.0,0.0,0.0,56.06718,-3.452863,"39 Woodmill St, Dunfermline KY11 4JN, UK",Dunfermline,"['Dunfermline', 'Scotland', 'United Kingdom']",Scotland
2020-01-09 15:36:10,"Glasgow, Scotland",I probably learned more on my 6 months abroad than I did during the rest of my 4 years of my undergrad. This is suc… https://t.co/S7AYmcUn5j,"Glasgow, Scotland",United Kingdom,GB,"[-4.241751, 55.858303]",probabl learn month abroad rest year undergrad suc,"['probably', 'learned', 'months', 'abroad', 'rest', 'years', 'undergrad', 'suc']","['probably', 'learned', 'months', 'abroad', 'rest', 'years', 'undergrad', 'suc']",1,26,0.0,1.0,0.0,0.0,55.858303,-4.241751,"Blackfriars Street, Glasgow G1 1PU, UK",Glasgow,"['Glasgow', 'Scotland', 'United Kingdom']",Scotland
2020-01-09 15:44:50,"Aberdeen, Scotland",@scott_mclean_73 @stewartfisher @DonBeanleone The ‘once in a generation’ con is associated with the 2014 Scottish I… https://t.co/9T1polMMkd,"Aberdeen, Scotland",United Kingdom,GB,"[-2.12704, 57.160556]",gener con associ scottish,"['generation', 'con', 'associated', 'scottish']","['generation', 'con', 'associated']",0,17,0.0,1.0,0.0,0.0,57.160556,-2.12704,"111 Westburn Dr, Aberdeen AB25 2BU, UK",Aberdeen,"['Aberdeen', 'Scotland', 'United Kingdom']",Scotland
2020-01-09 16:37:22,"Swansea, Wales",Clear that .@scottishlabour is responding with purpose to the #GE2019 outcome. Looking at options regarding… https://t.co/e5DfWpk9WB,"Gorseinon, Wales",United Kingdom,GB,"[-4.048755, 51.668666]",clear respond purpos outcom look option regard,"['clear', 'responding', 'purpose', 'outcome', 'looking', 'options', 'regarding']","['clear', 'responding', 'purpose', 'outcome', 'looking', 'options', 'regarding']",0,16,0.0,0.698,0.302,0.3818,51.668666,-4.048755,"112 Alexandra Rd, Gorseinon, Swansea SA4 4NX, UK",Swansea,"['Swansea', 'Wales', 'United Kingdom']",Wales
2020-01-09 17:34:20,"Newport, Isle of Wight",Bunter crying into his beer - EU (withdrawal agreement) Bill passed by 99 votes just now. Fat Man is now saying “we… https://t.co/7zwIuJQHSg,"Newport, England",United Kingdom,GB,"[-1.296543, 50.704936]",bunter cri beer withdraw agreement bill pass vote fat man say,"['bunter', 'crying', 'beer', 'withdrawal', 'agreement', 'bill', 'passed', 'votes', 'fat', 'man', 'saying']","['bunter', 'crying', 'beer', 'withdrawal', 'agreement', 'bill', 'passed', 'votes', 'fat', 'man', 'saying']",0,23,0.0,0.758,0.242,0.4939,50.704936,-1.296543,"49 Medina Way, Newport PO30 5HQ, UK",Newport,"['Newport', 'England', 'United Kingdom']",England
